longitude,latitude,start_date,end_date,label,id
-55.686754038008,-11.559374998955,2000-02-18,2017-03-18,NoClass,76
-55.684627574846,-11.559374998955,2000-02-18,2017-03-18,NoClass,77
-55.682501111685,-11.559374998955,2000-02-18,2017-03-18,NoClass,78
-55.680374648524,-11.559374998955,2000-02-18,2017-03-18,NoClass,79
-55.678248185362,-11.559374998955,2000-02-18,2017-03-18,NoClass,80
-55.676121722201,-11.559374998955,2000-02-18,2017-03-18,NoClass,81
-55.67399525904,-11.559374998955,2000-02-18,2017-03-18,NoClass,82
-55.671868795878,-11.559374998955,2000-02-18,2017-03-18,NoClass,83
-55.669742332717,-11.559374998955,2000-02-18,2017-03-18,NoClass,84
-55.75651269896,-11.557291665622,2000-02-18,2017-03-18,NoClass,85
-55.754386251611,-11.557291665622,2000-02-18,2017-03-18,NoClass,86
-55.752259804263,-11.557291665622,2000-02-18,2017-03-18,NoClass,87
-55.750133356914,-11.557291665622,2000-02-18,2017-03-18,NoClass,88
-55.748006909566,-11.557291665622,2000-02-18,2017-03-18,NoClass,89
-55.745880462218,-11.557291665622,2000-02-18,2017-03-18,NoClass,90
-55.743754014869,-11.557291665622,2000-02-18,2017-03-18,NoClass,91
-55.741627567521,-11.557291665622,2000-02-18,2017-03-18,NoClass,92
-55.739501120172,-11.557291665622,2000-02-18,2017-03-18,NoClass,93
-55.737374672824,-11.557291665622,2000-02-18,2017-03-18,NoClass,94
-55.735248225476,-11.557291665622,2000-02-18,2017-03-18,NoClass,95
-55.733121778127,-11.557291665622,2000-02-18,2017-03-18,NoClass,96
-55.730995330779,-11.557291665622,2000-02-18,2017-03-18,NoClass,97
-55.72886888343,-11.557291665622,2000-02-18,2017-03-18,NoClass,98
-55.726742436082,-11.557291665622,2000-02-18,2017-03-18,NoClass,99
-55.724615988733,-11.557291665622,2000-02-18,2017-03-18,NoClass,100
-55.722489541385,-11.557291665622,2000-02-18,2017-03-18,NoClass,101
-55.720363094037,-11.557291665622,2000-02-18,2017-03-18,NoClass,102
-55.718236646688,-11.557291665622,2000-02-18,2017-03-18,NoClass,103
-55.71611019934,-11.557291665622,2000-02-18,2017-03-18,NoClass,104
-55.713983751991,-11.557291665622,2000-02-18,2017-03-18,NoClass,105
-55.711857304643,-11.557291665622,2000-02-18,2017-03-18,NoClass,106
