col_id,row_id,time_id,from,to,label_id,twdtw_dist
59923,48779,1,11213,11563,4,2.74279
59923,48780,1,11213,11563,4,2.84814
59923,48781,1,11197,11547,4,3.34739
59923,48782,1,11213,11547,2,3.36387
59923,48783,1,11181,11531,2,2.43163
59923,48784,1,11213,11579,4,2.72444
59923,48785,1,11197,11563,4,2.40875
59923,48786,1,11197,11547,4,2.72244
59923,48787,1,11181,11547,2,2.07925
59923,48788,1,11197,11547,2,1.98126
59923,48789,1,11181,11547,2,2.24527
59923,48790,1,11181,11547,2,2.49035
59923,48791,1,11197,11547,2,2.53089
59923,48792,1,11197,11547,2,2.80144
59923,48793,1,11197,11547,2,2.60148
59923,48794,1,11213,11547,2,2.35547
59923,48795,1,11197,11547,2,2.2431
59923,48796,1,11197,11547,2,2.20081
59923,48797,1,11181,11547,2,2.47555
59923,48798,1,11181,11531,2,2.54643
59923,48799,1,11181,11547,2,2.69319
59924,48779,1,11213,11563,4,2.71503
59924,48780,1,11213,11563,4,2.66535
59924,48781,1,11213,11547,4,3.18127
59924,48782,1,11181,11547,2,2.73952
59924,48783,1,11181,11531,2,2.53433
59924,48784,1,11213,11547,4,2.55096
59924,48785,1,11213,11563,4,2.68141
59924,48786,1,11213,11547,4,2.4774
59924,48787,1,11181,11531,2,2.53889
59924,48788,1,11197,11547,2,1.99922
59924,48789,1,11181,11547,2,2.21509
59924,48790,1,11181,11531,2,2.23222
59924,48791,1,11181,11547,2,2.29832
59924,48792,1,11181,11547,2,2.27437
59924,48793,1,11181,11547,2,2.04708
59924,48794,1,11197,11547,2,2.14118
59924,48795,1,11197,11547,2,2.23517
59924,48796,1,11197,11547,2,2.16308
59924,48797,1,11181,11547,2,2.63567
59924,48798,1,11181,11547,2,2.52698
59924,48799,1,11197,11563,2,2.65423
59925,48779,1,11197,11547,4,2.80931
59925,48780,1,11181,11547,4,2.69021
59925,48781,1,11181,11563,4,3.1562
59925,48782,1,11197,11547,2,3.09491
59925,48783,1,11181,11547,4,2.75499
59925,48784,1,11213,11579,4,2.68848
59925,48785,1,11213,11579,4,2.79028
59925,48786,1,11213,11579,4,2.45594
